class,genus,species,synonyms,common_names,status
AVES,Anthropoides,paradiseus,Anthropoides paradisea paradisea|Grus paradisea,Blue crane,VU
AVES,Anthus,chloris,,Yellow-breasted pipit,VU
AVES,Anthus,nattereri,,Ochre-breasted pipit,VU
AVES,Anthus,nilghiriensis,,Nilgiri pipit,VU
AVES,Anthus,sokokensis,,Sokoke pipit,EN
AVES,Anthus,spragueii,,Sprague's pipit,VU
INSECTA,Antiagrion,blanchardi,,,VU
INSECTA,Antichthonidris,bidentatus,,,VU
AVES,Antigone,antigone,Grus antigone,Sarus crane,VU
AVES,Antigone,vipio,Grus vipio,White-naped crane,VU
AVES,Antilophia,bokermanni,,Araripe manakin,CR
INSECTA,Antipodogomphus,dentosus,,Top end dragon,VU
INSECTA,Antisolabis,seychellensis,Brachylabis seychellensis  ,,CR
AVES,Antrostomus,noctitherus,Caprimulgus noctitherus,Puerto Rican nightjar,EN
MAMMALIA,Aonyx,cinerea,Amblonyx cinereus  |Aonyx cinereus  ,Asian small-clawed otter,VU
MAMMALIA,Aotus,brumbacki,Aotus lemurinus subspecies brumbacki,Brumback's night monkey,VU
MAMMALIA,Aotus,griseimembra,,Grey-handed night monkey,VU
MAMMALIA,Aotus,lemurinus,Aotus hershkovitzi  ,Colombian night monkey,VU
MAMMALIA,Aotus,miconax,,Andean night monkey,VU
AVES,Apalharpactes,reinwardtii,,Javan trogon,VU
AVES,Apalis,chariessa,,White-winged apalis,VU
AVES,Apalis,flavigularis,,Yellow-throated apalis,EN
AVES,Apalis,fuscigularis,,Taita apalis,CR
AVES,Apalis,karamojae,,Karamoja apalis,VU
INSECTA,Aphaenogaster,bidentatus,,,VU
AVES,Aphanotriccus,capitalis,,Tawny-chested flycatcher,VU
AVES,Aphelocoma,coerulescens,,Florida scrub-jay,VU
AVES,Aphelocoma,insularis,,Island scrub-jay,VU
AVES,Aphrastura,masafuerae,,Masafuera rayadito,CR
AVES,Aplonis,brunneicapillus,Aplonis brunneicapilla brunneicapilla,White-eyed starling,EN
AVES,Aplonis,cinerascens,,Rarotonga starling,VU
AVES,Aplonis,pelzelni,,Pohnpei starling,CR
AVES,Aplonis,santovestris,,Santo starling,VU
MAMMALIA,Apodemus,gurkha,Apodemus flavicollis subspecies gurkha,Himalayan wood mouse,EN
MAMMALIA,Apomys,camiguinensis,,Camiguin forest mouse,VU
INSECTA,Appalachia,arcana,Appalachia arcena  ,Michigan bog grasshopper,VU
MAMMALIA,Aproteles,bulmerae,,Bulmer's fruit bat,CR
AVES,Apteryx,australis,,Southern brown kiwi,VU
AVES,Apteryx,haastii,,Great spotted kiwi,VU
AVES,Apteryx,mantelli,,Northern brown kiwi,EN
AVES,Apteryx,rowi,,"Okarito kiwi, Okarito brown kiwi",EN
AVES,Apus,acuticauda,,Dark-rumped swift,VU
AVES,Aquila,adalberti,,Spanish imperial eagle,VU
AVES,Aquila,heliaca,,Eastern imperial eagle,VU
AVES,Ara,ambiguus,Ara ambigua ,Great green macaw,EN
AVES,Ara,glaucogularis,,Blue-throated macaw,CR
AVES,Ara,militaris,,Military macaw,VU
AVES,Ara,rubrogenys,,Red-fronted macaw,EN
INSECTA,Arabineura,khalidi,Ellatoneura khalidi,,EN
MAMMALIA,Arabitragus,jayakari,Hemitragus jayakari  ,Arabian tahr,EN
INSECTA,Arachnocephalus,medvedevi,,,CR
INSECTA,Arachnocephalus,subsulcatus,,,EN
AVES,Aramides,wolfi,,Brown wood-rail,VU
AVES,Aramidopsis,plateni,,Snoring rail,VU
